CMDLINE /oak/stanford/groups/akundaje/sjessa/software/miniconda3/envs/nucleoatac2/bin/nucleoatac run --bam example/example.bam --bed example/example.bed --fasta example/sacCer3.fa --out profiling/after/example --cores 2
MEM 0.257812 1776319206.5119
MEM 17.949219 1776319206.6123
MEM 30.894531 1776319206.7125
MEM 41.718750 1776319206.8129
MEM 47.308594 1776319206.9133
MEM 52.199219 1776319207.0137
MEM 60.367188 1776319207.1140
MEM 68.519531 1776319207.2144
MEM 72.929688 1776319207.3146
MEM 80.640625 1776319207.4149
MEM 89.378906 1776319207.5152
MEM 95.906250 1776319207.6156
MEM 98.828125 1776319207.7160
MEM 102.035156 1776319207.8164
MEM 106.695312 1776319207.9168
MEM 108.480469 1776319208.0171
MEM 110.828125 1776319208.1176
MEM 116.890625 1776319208.2179
MEM 122.035156 1776319208.3181
MEM 122.035156 1776319208.4184
MEM 122.292969 1776319208.5188
MEM 122.292969 1776319208.6192
MEM 122.371094 1776319208.7196
MEM 122.371094 1776319208.8199
MEM 122.371094 1776319208.9204
MEM 122.371094 1776319209.0207
MEM 122.371094 1776319209.1211
MEM 122.371094 1776319209.2214
MEM 122.371094 1776319209.3217
MEM 122.371094 1776319209.4219
MEM 122.371094 1776319209.5224
MEM 122.371094 1776319209.6227
MEM 122.371094 1776319209.7231
MEM 122.371094 1776319209.8235
MEM 122.371094 1776319209.9239
MEM 122.371094 1776319210.0243
MEM 122.371094 1776319210.1246
MEM 122.371094 1776319210.2249
MEM 122.371094 1776319210.3251
MEM 122.371094 1776319210.4254
MEM 122.371094 1776319210.5258
MEM 122.371094 1776319210.6262
MEM 122.371094 1776319210.7265
MEM 122.371094 1776319210.8269
MEM 122.371094 1776319210.9273
MEM 122.371094 1776319211.0276
MEM 122.371094 1776319211.1279
MEM 122.371094 1776319211.2282
MEM 122.371094 1776319211.3285
MEM 122.371094 1776319211.4288
MEM 122.371094 1776319211.5293
MEM 122.371094 1776319211.6303
MEM 122.371094 1776319211.7307
MEM 122.371094 1776319211.8310
MEM 122.371094 1776319211.9315
MEM 122.371094 1776319212.0318
MEM 122.371094 1776319212.1321
MEM 122.371094 1776319212.2325
MEM 123.789062 1776319212.3327
MEM 123.964844 1776319212.4331
MEM 124.035156 1776319212.5335
MEM 124.035156 1776319212.6339
MEM 124.421875 1776319212.7342
MEM 124.421875 1776319212.8346
MEM 124.421875 1776319212.9351
MEM 124.421875 1776319213.0355
MEM 124.421875 1776319213.1359
MEM 124.421875 1776319213.2363
MEM 125.308594 1776319213.3365
MEM 125.308594 1776319213.4369
MEM 125.308594 1776319213.5374
MEM 125.308594 1776319213.6378
MEM 125.308594 1776319213.7384
MEM 125.308594 1776319213.8387
MEM 125.308594 1776319213.9391
MEM 125.531250 1776319214.0394
MEM 125.738281 1776319214.1396
MEM 126.046875 1776319214.2398
MEM 126.046875 1776319214.3402
MEM 126.304688 1776319214.4405
MEM 126.304688 1776319214.5409
MEM 126.304688 1776319214.6413
MEM 126.304688 1776319214.7416
MEM 126.304688 1776319214.8420
MEM 126.304688 1776319214.9424
MEM 126.304688 1776319215.0427
MEM 127.031250 1776319215.1431
MEM 127.031250 1776319215.2434
MEM 127.031250 1776319215.3438
MEM 127.324219 1776319215.4440
MEM 127.324219 1776319215.5442
MEM 127.324219 1776319215.6444
MEM 127.324219 1776319215.7447
MEM 127.324219 1776319215.8451
MEM 127.324219 1776319215.9455
MEM 127.324219 1776319216.0459
MEM 127.324219 1776319216.1464
MEM 127.324219 1776319216.2467
